"mature_mirna_id","hgnc_symbol"
"hsa-miR-451a","MYC"
"hsa-miR-484","SLC16A1"
"hsa-miR-484","HOXA5"
"hsa-miR-484","HSP90B1"
"hsa-miR-484","NFE2L1"
"hsa-miR-484","YWHAZ"
"hsa-miR-484","PA2G4"
"hsa-miR-484","ATP1A2"
"hsa-miR-484","TTYH3"
"hsa-miR-484","DDX6"
"hsa-miR-484","PARP1"
"hsa-miR-484","ATP1A1"
"hsa-miR-484","SERPINH1"
"hsa-miR-484","CFL1"
"hsa-miR-484","EIF4A1"
"hsa-miR-484","GAPDH"
"hsa-miR-484","MSH6"
"hsa-miR-484","GTF2H3"
"hsa-miR-484","HSP90AA1"
"hsa-miR-484","HSP90AB1"
"hsa-miR-484","ILF2"
"hsa-miR-484","IVD"
"hsa-miR-484","LETM1"
"hsa-miR-484","M6PR"
"hsa-miR-484","MCM5"
"hsa-miR-484","MCM7"
"hsa-miR-484","KMT2A"
"hsa-miR-484","MYO5A"
"hsa-miR-484","HNRNPM"
"hsa-miR-484","NONO"
"hsa-miR-484","PRDX1"
"hsa-miR-484","PGD"
"hsa-miR-484","PKM"
"hsa-miR-484","PLOD1"
"hsa-miR-484","POLR2A"
"hsa-miR-484","PRPS1"
"hsa-miR-484","RFX5"
"hsa-miR-484","RPL5"
"hsa-miR-484","RPLP0"
"hsa-miR-484","SUPT5H"
"hsa-miR-484","TKT"
"hsa-miR-484","ZNF202"
"hsa-miR-484","PSMG1"
"hsa-miR-484","SQSTM1"
"hsa-miR-484","NOLC1"
"hsa-miR-484","DLG5"
"hsa-miR-484","SLK"
"hsa-miR-484","TSPAN3"
"hsa-miR-484","RTN3"
"hsa-miR-484","CRTAP"
"hsa-miR-484","STIP1"
"hsa-miR-484","ADRM1"
"hsa-miR-484","HIC2"
"hsa-miR-484","BRD4"
"hsa-miR-484","DNPEP"
"hsa-miR-484","ORC6"
"hsa-miR-484","TMEM184B"
"hsa-miR-484","BLOC1S6"
"hsa-miR-484","UQCRQ"
"hsa-miR-484","GIT1"
"hsa-miR-484","ANAPC7"
"hsa-miR-484","PTRH2"
"hsa-miR-484","NUP54"
"hsa-miR-484","NLE1"
"hsa-miR-484","GATAD2B"
"hsa-miR-484","KMT2C"
"hsa-miR-484","CHTF18"
"hsa-miR-484","GIGYF1"
"hsa-miR-484","MRPS24"
"hsa-miR-484","VKORC1"
"hsa-miR-484","RBM42"
"hsa-miR-484","HECTD3"
"hsa-miR-484","DHX40"
"hsa-miR-484","YRDC"
"hsa-miR-484","EMC6"
"hsa-miR-484","R3HDM4"
"hsa-miR-484","AMER1"
"hsa-miR-484","HNRNPA3"
"hsa-miR-484","CHSY3"
"hsa-miR-484","LIN28B"
"hsa-miR-484","MGAT4B"
"hsa-miR-484","DSTN"
"hsa-miR-484","POLR3H"
"hsa-miR-484","GPR155"
"hsa-miR-484","URGCP"
"hsa-miR-484","JMJD6"
"hsa-miR-484","SH2B1"
"hsa-miR-484","ZFYVE21"
"hsa-miR-484","SLC19A1"
"hsa-miR-484","APEX1"
"hsa-miR-484","XRCC6"
"hsa-miR-484","CBR1"
"hsa-miR-484","MCM3AP"
"hsa-miR-484","FASN"
"hsa-miR-484","RAC3"
"hsa-miR-484","TRIM28"
"hsa-miR-484","MDH2"
"hsa-miR-484","SLC2A1"
"hsa-miR-484","SNX11"
"hsa-miR-484","CHCHD2"
"hsa-miR-484","WDR5"
