"ensembl_gene_id","baseMean_group2","log2FoldChange_group2","lfcSE_group2","stat_group2","pvalue_group2","padj_group2","baseMean_group3","log2FoldChange_group3","lfcSE_group3","stat_group3","pvalue_group3","padj_group3","baseMean_group4","log2FoldChange_group4","lfcSE_group4","stat_group4","pvalue_group4","padj_group4","hgnc_symbol","score"
"ENSG00000239002",2010.20204744091,-9.98119639493538,0.91869567694131,-10.8645296211326,1.70097463215108e-27,8.37673307180003e-24,2010.20204744091,-8.95108939215017,0.427941307546564,-20.916628599066,3.77903789624109e-97,2.98581784182009e-93,2010.20204744091,-10.1456379531212,0.880162480633353,-11.5270057249208,9.64398105283998e-31,1.49867465561133e-26,"SCARNA10",938.724509303905
"ENSG00000147604",16766.5244641337,9.30555171804477,0.667472781054059,13.9414699478077,3.54561746607839e-44,1.04765904887684e-39,16766.5244641337,8.5092873400259,0.366404553070623,23.22374891009,2.62100278404382e-119,1.03542714983651e-114,16766.5244641337,7.9448423264245,0.667489429576251,11.9025739950192,1.14752210265348e-32,3.56649869504702e-28,"RPL7",905.591902784394
"ENSG00000210144",1736.91149338196,-9.48045859080301,1.11123844264,-8.53143504312184,1.44543366468978e-17,1.37773141691141e-14,1736.91149338196,-12.4731842345355,0.687394143956889,-18.1456073552435,1.39089081286512e-73,3.92479582587403e-70,1736.91149338196,-12.3772663421226,1.43342426037652,-8.63475433216918,5.88533804042488e-18,7.31665225185621e-15,"MT-TY",865.7161067145
"ENSG00000177954",15505.7891093944,8.99868110055974,0.767967484783016,11.7175287741541,1.03651603723815e-31,7.65674396707824e-28,15505.7891093944,9.15760078352967,0.422096954893176,21.6954912310308,2.26295306388096e-104,2.97993202628724e-100,15505.7891093944,8.06023174849614,0.767978725793906,10.4953841529449,9.07079887641466e-26,3.13244921198853e-22,"RPS27",802.20096170979
"ENSG00000252481",491.611574581579,-6.94948090000684,0.678603572077359,-10.2408551707633,1.30081444247075e-24,3.49422410419324e-21,491.611574581579,-7.04174650538499,0.332906643026836,-21.1523159807218,2.62721696134389e-99,2.59470515144726e-95,491.611574581579,-7.21446551769906,0.658041146404798,-10.9635477311947,5.72116647074365e-28,4.44534634776781e-24,"SCARNA13",682.38680048266
"ENSG00000264063",2167.09709928154,-12.0374761229437,1.42766829702996,-8.43156365381633,3.41076680936453e-17,2.87946679094581e-14,2167.09709928154,-9.13657284028964,0.555813394063543,-16.4382019898663,1.01897451866875e-60,2.11866254526363e-57,2167.09709928154,-9.4108249073816,1.05492704984191,-8.92083003160442,4.6280641204627e-19,7.19201164319904e-16,"",682.211178008221
"ENSG00000122026",8929.56447542136,7.77670612341555,0.628663047604703,12.3702294147014,3.78738109058654e-35,3.73031788215504e-31,8929.56447542136,7.49680144994492,0.34499486780121,21.7301825320621,1.06378472023417e-104,2.10124076864255e-100,8929.56447542136,6.72346963149327,0.628687917726784,10.6944470251696,1.08062300898615e-26,4.56471591762243e-23,"RPL21",670.178806776949
"ENSG00000238741",875.995865901122,-8.45848947698729,0.832751049186889,-10.1572846833952,3.0752165300972e-24,7.57220816927601e-21,875.995865901122,-7.42934044949982,0.389631911801848,-19.0675871879768,4.69472194686834e-81,2.64949986444334e-77,875.995865901122,-8.36033310631325,0.782313055577363,-10.6866848849188,1.17495905215507e-26,4.56471591762243e-23,"SCARNA7",647.724362319039
"ENSG00000252010",337.589183926965,-6.60046526771969,0.765953316007735,-8.61732057264576,6.85390463737452e-18,7.50071015648675e-15,337.589183926965,-7.24565645094617,0.390356815152153,-18.5616240570104,6.56885182982141e-77,3.24378114421369e-73,337.589183926965,-8.61508458830882,0.911590328969703,-9.45060990066202,3.3686210397343e-21,8.72472849291183e-18,"SCARNA5",624.498422657696
"ENSG00000263740",531.248496016369,-7.05385572439806,0.814652888253049,-8.65872548432797,4.77068175345249e-18,5.42169632503901e-15,531.248496016369,-7.8269339001459,0.424153650599021,-18.4530626792723,4.92718961617532e-76,1.94648625787006e-72,531.248496016369,-8.42256193549233,0.870556196870581,-9.67492043106374,3.85391321723909e-22,1.08890566174355e-18,"RN7SL4P",603.988222012865
